epoch,step,train_loss,valid_loss_epoch
0,389,,0.10925037413835526
0,389,0.21720010042190552,
1,779,,0.07771626859903336
1,779,0.1013818308711052,
2,1169,,0.0752420425415039
2,1169,0.08013124018907547,
3,1559,,0.06625713407993317
3,1559,0.06657426059246063,
4,1949,,0.05798830837011337
4,1949,0.05753146484494209,
5,2339,,0.053802914917469025
5,2339,0.05052052438259125,
6,2729,,0.05150855332612991
6,2729,0.04621635749936104,
7,3119,,0.05502533167600632
7,3119,0.041318513453006744,
8,3509,,0.05304158478975296
8,3509,0.03893809765577316,
9,3899,,0.05228300020098686
9,3899,0.033834606409072876,
10,4289,,0.05077669396996498
10,4289,0.032170336693525314,
11,4679,,0.046788185834884644
11,4679,0.03087000921368599,
12,5069,,0.04864916205406189
12,5069,0.029062725603580475,
13,5459,,0.04772792011499405
13,5459,0.025574924424290657,
14,5849,,0.04632995277643204
14,5849,0.024777257815003395,
15,6239,,0.046419657766819
15,6239,0.024790512397885323,
16,6629,,0.047653112560510635
16,6629,0.02350420132279396,
17,7019,,0.04557798057794571
17,7019,0.02028827555477619,
18,7409,,0.04249623045325279
18,7409,0.01958790235221386,
19,7799,,0.038493186235427856
19,7799,0.018846869468688965,
20,8189,,0.044738639146089554
20,8189,0.01738223060965538,
21,8579,,0.04338396340608597
21,8579,0.016807012259960175,
22,8969,,0.04503858834505081
22,8969,0.015154222026467323,
23,9359,,0.04234185069799423
23,9359,0.016176659613847733,
24,9749,,0.044699158519506454
24,9749,0.01531692873686552,
25,10139,,0.04281667619943619
25,10139,0.014398571103811264,
26,10529,,0.04548930749297142
26,10529,0.012932331301271915,
27,10919,,0.04873892292380333
27,10919,0.012425449676811695,
28,11309,,0.0415976420044899
28,11309,0.011863700114190578,
29,11699,,0.04794241487979889
29,11699,0.01287818793207407,
30,12089,,0.04093755781650543
30,12089,0.010459856130182743,
31,12479,,0.048078007996082306
31,12479,0.012424306012690067,
32,12869,,0.047204043716192245
32,12869,0.010711788199841976,
33,13259,,0.04885092377662659
33,13259,0.009505921974778175,
34,13649,,0.04698823764920235
34,13649,0.009942980483174324,
