epoch,step,train_loss,valid_loss_epoch
0,389,,0.14856360852718353
0,389,0.2659832537174225,
1,779,,0.11326931416988373
1,779,0.12274583429098129,
2,1169,,0.09351576864719391
2,1169,0.09664278477430344,
3,1559,,0.07841173559427261
3,1559,0.08231334388256073,
4,1949,,0.0692467987537384
4,1949,0.0736565813422203,
5,2339,,0.07142122834920883
5,2339,0.06468464434146881,
6,2729,,0.0687389001250267
6,2729,0.05723666772246361,
7,3119,,0.0665811225771904
7,3119,0.05185750499367714,
8,3509,,0.055834196507930756
8,3509,0.04943108558654785,
9,3899,,0.0585484579205513
9,3899,0.04498237743973732,
10,4289,,0.0569518618285656
10,4289,0.03980410471558571,
11,4679,,0.05479764938354492
11,4679,0.038693513721227646,
12,5069,,0.05272107198834419
12,5069,0.03623184189200401,
13,5459,,0.05605996027588844
13,5459,0.034140534698963165,
14,5849,,0.04961971938610077
14,5849,0.03211987763643265,
15,6239,,0.05224425345659256
15,6239,0.029560625553131104,
16,6629,,0.051472894847393036
16,6629,0.029278483241796494,
17,7019,,0.05040983855724335
17,7019,0.026415947824716568,
18,7409,,0.05102737247943878
18,7409,0.024739611893892288,
19,7799,,0.047853052616119385
19,7799,0.0241023488342762,
20,8189,,0.04789808765053749
20,8189,0.023531598970294,
21,8579,,0.046707119792699814
21,8579,0.0218184944242239,
22,8969,,0.05074956268072128
22,8969,0.021581050008535385,
23,9359,,0.04859507456421852
23,9359,0.020510386675596237,
24,9749,,0.046991266310214996
24,9749,0.019247958436608315,
25,10139,,0.04849483445286751
25,10139,0.017498241737484932,
26,10529,,0.04838156700134277
26,10529,0.019264308735728264,
