epoch,step,train_loss,valid_loss_epoch
0,389,,1.127785086631775
0,389,1.9525501728057861,
1,779,,0.5227912664413452
1,779,0.925037145614624,
2,1169,,0.33392053842544556
2,1169,0.48175883293151855,
3,1559,,0.2749561369419098
3,1559,0.349082350730896,
4,1949,,0.25284090638160706
4,1949,0.30110979080200195,
5,2339,,0.23461571335792542
5,2339,0.2710861563682556,
6,2729,,0.2283594161272049
6,2729,0.2586439251899719,
7,3119,,0.22184962034225464
7,3119,0.23842202126979828,
8,3509,,0.20375309884548187
8,3509,0.23294854164123535,
9,3899,,0.21505525708198547
9,3899,0.21988165378570557,
10,4289,,0.21794959902763367
10,4289,0.21104350686073303,
11,4679,,0.2335502654314041
11,4679,0.2065577358007431,
12,5069,,0.21523608267307281
12,5069,0.1969224214553833,
13,5459,,0.19676409661769867
13,5459,0.19266484677791595,
14,5849,,0.1948150098323822
14,5849,0.18562917411327362,
15,6239,,0.18942159414291382
15,6239,0.1842145472764969,
16,6629,,0.19626180827617645
16,6629,0.17831610143184662,
17,7019,,0.19240790605545044
17,7019,0.17289410531520844,
18,7409,,0.19015175104141235
18,7409,0.16607818007469177,
19,7799,,0.18034596741199493
19,7799,0.16456522047519684,
20,8189,,0.1781134307384491
20,8189,0.16096751391887665,
21,8579,,0.18936634063720703
21,8579,0.15602166950702667,
22,8969,,0.18586862087249756
22,8969,0.15496671199798584,
23,9359,,0.17011189460754395
23,9359,0.15247896313667297,
24,9749,,0.1754957139492035
24,9749,0.14884570240974426,
25,10139,,0.1836439073085785
25,10139,0.14319074153900146,
26,10529,,0.18533313274383545
26,10529,0.1426461786031723,
27,10919,,0.17608508467674255
27,10919,0.1408417522907257,
28,11309,,0.17537963390350342
28,11309,0.1384735256433487,
