epoch,step,train_loss,valid_loss_epoch
0,389,,1.1086070537567139
0,389,1.7955008745193481,
1,779,,0.35296159982681274
1,779,0.6650372743606567,
2,1169,,0.27616652846336365
2,1169,0.34879907965660095,
3,1559,,0.24629276990890503
3,1559,0.2778569459915161,
4,1949,,0.23933546245098114
4,1949,0.2454473078250885,
5,2339,,0.22788015007972717
5,2339,0.22463659942150116,
6,2729,,0.23322509229183197
6,2729,0.209681898355484,
7,3119,,0.21752764284610748
7,3119,0.2028036266565323,
8,3509,,0.19835184514522552
8,3509,0.19186735153198242,
9,3899,,0.20078060030937195
9,3899,0.17869912087917328,
10,4289,,0.1976296454668045
10,4289,0.1724717766046524,
11,4679,,0.17441895604133606
11,4679,0.16696429252624512,
12,5069,,0.16951552033424377
12,5069,0.1622602790594101,
13,5459,,0.16796433925628662
13,5459,0.1595427244901657,
14,5849,,0.16442488133907318
14,5849,0.14926530420780182,
15,6239,,0.15984344482421875
15,6239,0.14756202697753906,
16,6629,,0.15688875317573547
16,6629,0.14270199835300446,
17,7019,,0.15924879908561707
17,7019,0.14115597307682037,
18,7409,,0.16046397387981415
18,7409,0.13467656075954437,
19,7799,,0.15203562378883362
19,7799,0.1313209980726242,
20,8189,,0.1535744071006775
20,8189,0.12964481115341187,
21,8579,,0.15468274056911469
21,8579,0.12472380697727203,
22,8969,,0.14997535943984985
22,8969,0.12347119301557541,
23,9359,,0.14575760066509247
23,9359,0.118443064391613,
24,9749,,0.15086960792541504
24,9749,0.11610139906406403,
25,10139,,0.14611800014972687
25,10139,0.11464965343475342,
26,10529,,0.1502823382616043
26,10529,0.112386554479599,
27,10919,,0.143781378865242
27,10919,0.10937472432851791,
28,11309,,0.14869028329849243
28,11309,0.10664654523134232,
29,11699,,0.14146140217781067
29,11699,0.10434847325086594,
30,12089,,0.14471286535263062
30,12089,0.10189823061227798,
31,12479,,0.1448482871055603
31,12479,0.10281316190958023,
32,12869,,0.1447516679763794
32,12869,0.10049090534448624,
33,13259,,0.14055059850215912
33,13259,0.09641960263252258,
34,13649,,0.13741660118103027
34,13649,0.0953197181224823,
35,14039,,0.13476842641830444
35,14039,0.09569914638996124,
36,14429,,0.14757530391216278
36,14429,0.0930093303322792,
37,14819,,0.14293740689754486
37,14819,0.08937554806470871,
38,15209,,0.140647754073143
38,15209,0.08919855952262878,
39,15599,,0.1342238038778305
39,15599,0.08819659054279327,
40,15989,,0.13831624388694763
40,15989,0.08753707259893417,
41,16379,,0.13377948105335236
41,16379,0.08665377646684647,
42,16769,,0.13054001331329346
42,16769,0.08521513640880585,
43,17159,,0.14081305265426636
43,17159,0.08086532354354858,
44,17549,,0.15128664672374725
44,17549,0.08151330053806305,
45,17939,,0.13909803330898285
45,17939,0.0799204632639885,
46,18329,,0.14334136247634888
46,18329,0.08118575811386108,
47,18719,,0.13612975180149078
47,18719,0.07892684638500214,
