epoch,step,train_loss,valid_loss_epoch
0,389,,0.18037332594394684
0,389,0.20528976619243622,
1,779,,0.17621679604053497
1,779,0.17946210503578186,
2,1169,,0.17346687614917755
2,1169,0.1751607209444046,
3,1559,,0.17111164331436157
3,1559,0.17290176451206207,
4,1949,,0.1700802594423294
4,1949,0.17158325016498566,
5,2339,,0.17041033506393433
5,2339,0.17086189985275269,
6,2729,,0.16923657059669495
6,2729,0.17052313685417175,
7,3119,,0.16985201835632324
7,3119,0.169735386967659,
8,3509,,0.16924424469470978
8,3509,0.16969549655914307,
9,3899,,0.16941218078136444
9,3899,0.16962221264839172,
10,4289,,0.1681101769208908
10,4289,0.16933903098106384,
11,4679,,0.16758711636066437
11,4679,0.16914722323417664,
12,5069,,0.16841045022010803
12,5069,0.16909226775169373,
13,5459,,0.16849511861801147
13,5459,0.16890352964401245,
14,5849,,0.1675807535648346
14,5849,0.1688563972711563,
15,6239,,0.16847939789295197
15,6239,0.1688060313463211,
16,6629,,0.16747337579727173
16,6629,0.1686697155237198,
17,7019,,0.16765426099300385
17,7019,0.16858935356140137,
18,7409,,0.16788561642169952
18,7409,0.16832207143306732,
19,7799,,0.16850478947162628
19,7799,0.16834977269172668,
20,8189,,0.16738973557949066
20,8189,0.16856248676776886,
21,8579,,0.1678442507982254
21,8579,0.16848662495613098,
22,8969,,0.16676853597164154
22,8969,0.16806016862392426,
23,9359,,0.16731144487857819
23,9359,0.16808882355690002,
24,9749,,0.16700461506843567
24,9749,0.16802147030830383,
25,10139,,0.16796571016311646
25,10139,0.16780735552310944,
26,10529,,0.16641740500926971
26,10529,0.1677112877368927,
27,10919,,0.1672287881374359
27,10919,0.16764625906944275,
28,11309,,0.1679081916809082
28,11309,0.16763199865818024,
29,11699,,0.16789862513542175
29,11699,0.16765393316745758,
30,12089,,0.16777940094470978
30,12089,0.16775919497013092,
31,12479,,0.167434960603714
31,12479,0.16746991872787476,
