epoch,step,train_loss,valid_loss_epoch
0,389,,0.1746494621038437
0,389,0.20132651925086975,
1,779,,0.16718216240406036
1,779,0.172079935669899,
2,1169,,0.164438396692276
2,1169,0.16814085841178894,
3,1559,,0.1630258560180664
3,1559,0.16619771718978882,
4,1949,,0.16235466301441193
4,1949,0.16501522064208984,
5,2339,,0.16161832213401794
5,2339,0.16427554190158844,
6,2729,,0.16196654736995697
6,2729,0.163563534617424,
7,3119,,0.16045652329921722
7,3119,0.16303016245365143,
8,3509,,0.16054217517375946
8,3509,0.16264986991882324,
9,3899,,0.16051426529884338
9,3899,0.1622840166091919,
10,4289,,0.15977846086025238
10,4289,0.16197709739208221,
11,4679,,0.15936242043972015
11,4679,0.16182805597782135,
12,5069,,0.15958289802074432
12,5069,0.16149841248989105,
13,5459,,0.15940363705158234
13,5459,0.16118669509887695,
14,5849,,0.15893599390983582
14,5849,0.16102325916290283,
15,6239,,0.15906639397144318
15,6239,0.16085048019886017,
16,6629,,0.15892267227172852
16,6629,0.16080191731452942,
17,7019,,0.1592208296060562
17,7019,0.16056305170059204,
18,7409,,0.1592060923576355
18,7409,0.16051284968852997,
19,7799,,0.15889883041381836
19,7799,0.1603459119796753,
20,8189,,0.15854892134666443
20,8189,0.1601952314376831,
21,8579,,0.15842805802822113
21,8579,0.16021080315113068,
22,8969,,0.1590757817029953
22,8969,0.16001208126544952,
23,9359,,0.1581268012523651
23,9359,0.16000774502754211,
24,9749,,0.1582963764667511
24,9749,0.15987001359462738,
25,10139,,0.15793024003505707
25,10139,0.1598014384508133,
26,10529,,0.15808524191379547
26,10529,0.159772589802742,
27,10919,,0.15806134045124054
27,10919,0.15967029333114624,
28,11309,,0.15772850811481476
28,11309,0.15950725972652435,
29,11699,,0.15770405530929565
29,11699,0.1595625877380371,
30,12089,,0.157720148563385
30,12089,0.15951189398765564,
31,12479,,0.1580289751291275
31,12479,0.15944454073905945,
32,12869,,0.1578138917684555
32,12869,0.1594523787498474,
33,13259,,0.1574978232383728
33,13259,0.15940889716148376,
34,13649,,0.15773281455039978
34,13649,0.15940770506858826,
35,14039,,0.1577027589082718
35,14039,0.15935860574245453,
36,14429,,0.15785641968250275
36,14429,0.1593320369720459,
37,14819,,0.15764105319976807
37,14819,0.15928097069263458,
38,15209,,0.15751871466636658
38,15209,0.15910297632217407,
