epoch,step,train_loss,valid_loss_epoch
0,389,,0.1571325808763504
0,389,0.18855218589305878,
1,779,,0.14625220000743866
1,779,0.15503637492656708,
2,1169,,0.14337697625160217
2,1169,0.1455380916595459,
3,1559,,0.13855189085006714
3,1559,0.139788419008255,
4,1949,,0.13453951478004456
4,1949,0.1370478868484497,
5,2339,,0.13114511966705322
5,2339,0.13363158702850342,
6,2729,,0.13204514980316162
6,2729,0.13160957396030426,
7,3119,,0.1299441158771515
7,3119,0.1285756379365921,
8,3509,,0.1273568868637085
8,3509,0.12767352163791656,
9,3899,,0.1282094120979309
9,3899,0.12699945271015167,
10,4289,,0.1266225129365921
10,4289,0.12533056735992432,
11,4679,,0.12541213631629944
11,4679,0.12390868365764618,
12,5069,,0.12528569996356964
12,5069,0.12329284101724625,
13,5459,,0.12278468161821365
13,5459,0.1225939467549324,
14,5849,,0.1230240985751152
14,5849,0.12141630798578262,
15,6239,,0.12264617532491684
15,6239,0.12038120627403259,
16,6629,,0.12369605153799057
16,6629,0.12020886689424515,
17,7019,,0.12266376614570618
17,7019,0.1203853115439415,
18,7409,,0.12199600040912628
18,7409,0.11919590085744858,
19,7799,,0.12067074328660965
19,7799,0.11824855953454971,
20,8189,,0.12031825631856918
20,8189,0.11796075850725174,
21,8579,,0.12154917418956757
21,8579,0.11810468137264252,
22,8969,,0.1223006322979927
22,8969,0.11800463497638702,
23,9359,,0.11953868716955185
23,9359,0.11646436154842377,
24,9749,,0.1202758401632309
24,9749,0.11663646250963211,
25,10139,,0.12315259128808975
25,10139,0.11716839671134949,
26,10529,,0.12070398032665253
26,10529,0.11710382997989655,
27,10919,,0.12052101641893387
27,10919,0.11574886739253998,
28,11309,,0.1198601946234703
28,11309,0.1159515455365181,
29,11699,,0.12083004415035248
29,11699,0.11514844745397568,
30,12089,,0.12042545527219772
30,12089,0.11489752680063248,
31,12479,,0.11925241351127625
31,12479,0.11557087302207947,
32,12869,,0.11891085654497147
32,12869,0.11437331885099411,
33,13259,,0.1168452799320221
33,13259,0.11356388032436371,
34,13649,,0.11821695417165756
34,13649,0.11314933747053146,
35,14039,,0.11780234426259995
35,14039,0.11274177581071854,
36,14429,,0.11747349798679352
36,14429,0.11278040707111359,
37,14819,,0.11783535033464432
37,14819,0.11381065100431442,
38,15209,,0.11909062415361404
38,15209,0.11314058303833008,
39,15599,,0.11794204264879227
39,15599,0.11422757059335709,
40,15989,,0.11742828786373138
40,15989,0.11348280310630798,
41,16379,,0.11750831454992294
41,16379,0.11150208860635757,
42,16769,,0.11741670221090317
42,16769,0.11161526292562485,
43,17159,,0.11670161038637161
43,17159,0.11189381778240204,
44,17549,,0.11813250929117203
44,17549,0.11207575350999832,
45,17939,,0.11698910593986511
45,17939,0.11174900084733963,
46,18329,,0.1165182888507843
46,18329,0.11216999590396881,
47,18719,,0.11629147082567215
47,18719,0.11245064437389374,
48,19109,,0.11667367815971375
48,19109,0.11056378483772278,
49,19499,,0.11649656295776367
49,19499,0.11055812984704971,
50,19889,,0.11724160611629486
50,19889,0.11223383247852325,
51,20279,,0.11670700460672379
51,20279,0.11111319065093994,
52,20669,,0.1154164969921112
52,20669,0.1102299615740776,
53,21059,,0.11773908883333206
53,21059,0.110164113342762,
54,21449,,0.11615409702062607
54,21449,0.11105562001466751,
55,21839,,0.1164705827832222
55,21839,0.11039892584085464,
56,22229,,0.11706509441137314
56,22229,0.1099909096956253,
57,22619,,0.11609739065170288
57,22619,0.11124991625547409,
58,23009,,0.11769384145736694
58,23009,0.11031188070774078,
59,23399,,0.11665583401918411
59,23399,0.1106293573975563,
60,23789,,0.11685040593147278
60,23789,0.11026912927627563,
61,24179,,0.11632557213306427
61,24179,0.10989810526371002,
62,24569,,0.11658275127410889
62,24569,0.10995432734489441,
63,24959,,0.11659175902605057
63,24959,0.10940413177013397,
64,25349,,0.11475187540054321
64,25349,0.1097671389579773,
65,25739,,0.11629411578178406
65,25739,0.10938343405723572,
66,26129,,0.11597580462694168
66,26129,0.10971792042255402,
67,26519,,0.11461212486028671
67,26519,0.10903070867061615,
68,26909,,0.11585527658462524
68,26909,0.10887142270803452,
69,27299,,0.1141505092382431
69,27299,0.10884792357683182,
70,27689,,0.11562911421060562
70,27689,0.10862964391708374,
71,28079,,0.11647223681211472
71,28079,0.10907777398824692,
72,28469,,0.1154051199555397
72,28469,0.1087813675403595,
73,28859,,0.11596743017435074
73,28859,0.10841165482997894,
74,29249,,0.11481107771396637
74,29249,0.1089910939335823,
75,29639,,0.1154077872633934
75,29639,0.10819435864686966,
76,30029,,0.1155630424618721
76,30029,0.10837922990322113,
77,30419,,0.11523430794477463
77,30419,0.10859505832195282,
78,30809,,0.1145811453461647
78,30809,0.10878435522317886,
79,31199,,0.11515472829341888
79,31199,0.10873335599899292,
80,31589,,0.11547105759382248
80,31589,0.10906603187322617,
81,31979,,0.11540479958057404
81,31979,0.10821180790662766,
82,32369,,0.11396995186805725
82,32369,0.10792771726846695,
83,32759,,0.11471399664878845
83,32759,0.10765810310840607,
84,33149,,0.11549600958824158
84,33149,0.10771846026182175,
85,33539,,0.11494320631027222
85,33539,0.10814913362264633,
86,33929,,0.1161753386259079
86,33929,0.10874170809984207,
87,34319,,0.11511872708797455
87,34319,0.10831863433122635,
88,34709,,0.11447212845087051
88,34709,0.10735142230987549,
89,35099,,0.11499924212694168
89,35099,0.10812286287546158,
90,35489,,0.11444005370140076
90,35489,0.10827632993459702,
91,35879,,0.11460751295089722
91,35879,0.10834375768899918,
92,36269,,0.11447658389806747
92,36269,0.1082654818892479,
93,36659,,0.11387035995721817
93,36659,0.10759347677230835,
94,37049,,0.11399395018815994
94,37049,0.10707186907529831,
95,37439,,0.11531654000282288
95,37439,0.10705007612705231,
96,37829,,0.11410810053348541
96,37829,0.10752027481794357,
97,38219,,0.11316216737031937
97,38219,0.10689342021942139,
98,38609,,0.1162632629275322
98,38609,0.10669680684804916,
99,38999,,0.11414482444524765
99,38999,0.1078089028596878,
