epoch,step,train_loss,valid_loss_epoch
0,389,,2.3063066005706787
0,389,2.3639798164367676,
1,779,,1.1846622228622437
1,779,1.9932842254638672,
2,1169,,0.7062456607818604
2,1169,0.9358794093132019,
3,1559,,0.48412179946899414
3,1559,0.6271680593490601,
4,1949,,0.3928002119064331
4,1949,0.4801287055015564,
5,2339,,0.3079851567745209
5,2339,0.3842969536781311,
6,2729,,0.28188231587409973
6,2729,0.3125220239162445,
7,3119,,0.2506119906902313
7,3119,0.2514857053756714,
8,3509,,0.2639184594154358
8,3509,0.1916646659374237,
9,3899,,0.2614247798919678
9,3899,0.1527460664510727,
10,4289,,0.2438575178384781
10,4289,0.1219543069601059,
11,4679,,0.3046553134918213
11,4679,0.09865004569292068,
12,5069,,0.2644496560096741
12,5069,0.08259428292512894,
13,5459,,0.2644220292568207
13,5459,0.0692870244383812,
14,5849,,0.27034884691238403
14,5849,0.06351041048765182,
15,6239,,0.3282223641872406
15,6239,0.057605743408203125,
